runner gpu0 seed 2101 arms ['stablegla'] batch 16 steps 73243 (1.20B tokens/run)
/home/ubuntu/venv-s05/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
[stablegla_s2101_w512] step 0/73243 loss 10.4180 (0.0m)
  [stablegla_s2101_w512] probes@366: kv=0.000 needle=0.000
[stablegla_s2101_w512] step 732/73243 loss 5.1119 (12.4m)
  [stablegla_s2101_w512] probes@780: kv=0.023 needle=0.016
[stablegla_s2101_w512] step 1464/73243 loss 4.2602 (25.4m)
  [stablegla_s2101_w512] probes@1663: kv=0.023 needle=0.008
[stablegla_s2101_w512] step 2196/73243 loss 3.8170 (38.3m)
[stablegla_s2101_w512] step 2928/73243 loss 3.5444 (50.3m)
  [stablegla_s2101_w512] probes@3546: kv=0.242 needle=0.508
[stablegla_s2101_w512] step 3660/73243 loss 3.4206 (63.2m)
[stablegla_s2101_w512] step 4392/73243 loss 3.3061 (75.8m)
[stablegla_s2101_w512] step 5124/73243 loss 3.2691 (88.4m)
[stablegla_s2101_w512] step 5856/73243 loss 3.1869 (100.4m)
[stablegla_s2101_w512] step 6588/73243 loss 3.1607 (112.9m)
[stablegla_s2101_w512] step 7320/73243 loss 3.1412 (125.4m)
  [stablegla_s2101_w512] probes@7560: kv=1.000 needle=0.602
[stablegla_s2101_w512] step 8052/73243 loss 3.1009 (138.2m)
[stablegla_s2101_w512] step 8784/73243 loss 3.0824 (150.1m)
[stablegla_s2101_w512] step 9516/73243 loss 3.0642 (162.6m)
[stablegla_s2101_w512] step 10248/73243 loss 3.0300 (175.1m)
[stablegla_s2101_w512] step 10980/73243 loss 3.0195 (187.1m)
[stablegla_s2101_w512] step 11712/73243 loss 3.0077 (199.5m)
[stablegla_s2101_w512] step 12444/73243 loss 2.9798 (211.9m)
[stablegla_s2101_w512] step 13176/73243 loss 2.9982 (224.4m)
[stablegla_s2101_w512] step 13908/73243 loss 2.9613 (236.4m)
[stablegla_s2101_w512] step 14640/73243 loss 2.9699 (248.8m)
[stablegla_s2101_w512] step 15372/73243 loss 2.9125 (261.2m)
[stablegla_s2101_w512] step 16104/73243 loss 2.9327 (273.6m)
  [stablegla_s2101_w512] probes@16116: kv=1.000 needle=0.594
[stablegla_s2101_w512] step 16836/73243 loss 2.9156 (285.9m)
[stablegla_s2101_w512] step 17568/73243 loss 2.9123 (298.3m)
[stablegla_s2101_w512] step 18300/73243 loss 2.9017 (310.7m)
[stablegla_s2101_w512] step 19032/73243 loss 2.8728 (323.2m)
[stablegla_s2101_w512] step 19764/73243 loss 2.8843 (335.1m)
[stablegla_s2101_w512] step 20496/73243 loss 2.8897 (347.6m)
[stablegla_s2101_w512] step 21228/73243 loss 2.8572 (360.0m)
[stablegla_s2101_w512] step 21960/73243 loss 2.8228 (372.0m)
[stablegla_s2101_w512] step 22692/73243 loss 2.8578 (384.4m)
[stablegla_s2101_w512] step 23424/73243 loss 2.8337 (396.8m)
[stablegla_s2101_w512] step 24156/73243 loss 2.8414 (409.2m)
[stablegla_s2101_w512] step 24888/73243 loss 2.8274 (421.2m)
[stablegla_s2101_w512] step 25620/73243 loss 2.8313 (433.6m)
[stablegla_s2101_w512] step 26352/73243 loss 2.8152 (446.0m)
[stablegla_s2101_w512] step 27084/73243 loss 2.8139 (458.4m)
[stablegla_s2101_w512] step 27816/73243 loss 2.8271 (470.4m)
[stablegla_s2101_w512] step 28548/73243 loss 2.8152 (482.9m)
[stablegla_s2101_w512] step 29280/73243 loss 2.7899 (495.3m)
[stablegla_s2101_w512] step 30012/73243 loss 2.8120 (507.7m)
[stablegla_s2101_w512] step 30744/73243 loss 2.7687 (519.7m)
[stablegla_s2101_w512] step 31476/73243 loss 2.7920 (532.1m)
[stablegla_s2101_w512] step 32208/73243 loss 2.7710 (544.5m)
[stablegla_s2101_w512] step 32940/73243 loss 2.7660 (556.5m)
[stablegla_s2101_w512] step 33672/73243 loss 2.7748 (568.9m)
  [stablegla_s2101_w512] probes@34356: kv=1.000 needle=0.586
[stablegla_s2101_w512] step 34404/73243 loss 2.7273 (581.6m)
[stablegla_s2101_w512] step 35136/73243 loss 2.7369 (594.1m)
[stablegla_s2101_w512] step 35868/73243 loss 2.7430 (606.1m)
[stablegla_s2101_w512] step 36600/73243 loss 2.7446 (618.5m)
[stablegla_s2101_w512] step 37332/73243 loss 2.7034 (630.9m)
[stablegla_s2101_w512] step 38064/73243 loss 2.7261 (643.3m)
[stablegla_s2101_w512] step 38796/73243 loss 2.7377 (655.3m)
[stablegla_s2101_w512] step 39528/73243 loss 2.7488 (667.7m)
[stablegla_s2101_w512] step 40260/73243 loss 2.7134 (680.1m)
[stablegla_s2101_w512] step 40992/73243 loss 2.7134 (692.1m)
[stablegla_s2101_w512] step 41724/73243 loss 2.6969 (704.5m)
[stablegla_s2101_w512] step 42456/73243 loss 2.7078 (717.0m)
[stablegla_s2101_w512] step 43188/73243 loss 2.6865 (729.4m)
[stablegla_s2101_w512] step 43920/73243 loss 2.7052 (741.4m)
[stablegla_s2101_w512] step 44652/73243 loss 2.6855 (753.8m)
[stablegla_s2101_w512] step 45384/73243 loss 2.6816 (766.2m)
[stablegla_s2101_w512] step 46116/73243 loss 2.6753 (778.6m)
[stablegla_s2101_w512] step 46848/73243 loss 2.6675 (790.6m)
[stablegla_s2101_w512] step 47580/73243 loss 2.6514 (803.0m)
[stablegla_s2101_w512] step 48312/73243 loss 2.6752 (815.4m)
[stablegla_s2101_w512] step 49044/73243 loss 2.6626 (827.8m)
[stablegla_s2101_w512] step 49776/73243 loss 2.6541 (839.8m)
[stablegla_s2101_w512] step 50508/73243 loss 2.6457 (852.2m)
[stablegla_s2101_w512] step 51240/73243 loss 2.6222 (864.7m)
[stablegla_s2101_w512] step 51972/73243 loss 2.6349 (876.7m)
[stablegla_s2101_w512] step 52704/73243 loss 2.6350 (889.1m)
[stablegla_s2101_w512] step 53436/73243 loss 2.6445 (901.5m)
[stablegla_s2101_w512] step 54168/73243 loss 2.6354 (913.9m)
[stablegla_s2101_w512] step 54900/73243 loss 2.6210 (925.9m)
[stablegla_s2101_w512] step 55632/73243 loss 2.6235 (938.3m)
[stablegla_s2101_w512] step 56364/73243 loss 2.6460 (950.7m)
[stablegla_s2101_w512] step 57096/73243 loss 2.6307 (963.1m)
[stablegla_s2101_w512] step 57828/73243 loss 2.6000 (975.1m)
[stablegla_s2101_w512] step 58560/73243 loss 2.6280 (987.5m)
[stablegla_s2101_w512] step 59292/73243 loss 2.6356 (1000.0m)
[stablegla_s2101_w512] step 60024/73243 loss 2.6196 (1012.4m)
[stablegla_s2101_w512] step 60756/73243 loss 2.6141 (1024.4m)
[stablegla_s2101_w512] step 61488/73243 loss 2.6214 (1036.8m)
[stablegla_s2101_w512] step 62220/73243 loss 2.5912 (1049.2m)
[stablegla_s2101_w512] step 62952/73243 loss 2.6098 (1061.2m)
[stablegla_s2101_w512] step 63684/73243 loss 2.6023 (1073.6m)
[stablegla_s2101_w512] step 64416/73243 loss 2.5737 (1086.0m)
[stablegla_s2101_w512] step 65148/73243 loss 2.5870 (1098.4m)
[stablegla_s2101_w512] step 65880/73243 loss 2.5974 (1110.4m)
[stablegla_s2101_w512] step 66612/73243 loss 2.5985 (1122.8m)
[stablegla_s2101_w512] step 67344/73243 loss 2.5677 (1135.3m)
[stablegla_s2101_w512] step 68076/73243 loss 2.5827 (1147.7m)
[stablegla_s2101_w512] step 68808/73243 loss 2.5758 (1159.7m)
[stablegla_s2101_w512] step 69540/73243 loss 2.5803 (1172.1m)
[stablegla_s2101_w512] step 70272/73243 loss 2.5971 (1184.5m)
[stablegla_s2101_w512] step 71004/73243 loss 2.5852 (1196.9m)
[stablegla_s2101_w512] step 71736/73243 loss 2.5697 (1208.9m)
[stablegla_s2101_w512] step 72468/73243 loss 2.5793 (1221.3m)
[stablegla_s2101_w512] step 73200/73243 loss 2.5771 (1233.7m)
  [stablegla_s2101_w512] probes@73242: kv=1.000 needle=0.578
[stablegla_s2101_w512] DONE in 20.59h
runner gpu0 ALL DONE
